club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
Boavista Porto FC,Elpídio SilvaElpídio Silva,24,Centre-Forward,Braga,£630k,in,0.63,primeira-liga,2000
Boavista Porto FC,Rui ÓscarRui Óscar,24,Right-Back,Marítimo,Free Transfer,in,0,primeira-liga,2000
Boavista Porto FC,MarçalMarçal,25,Defender,Leiria,Free Transfer,in,0,primeira-liga,2000
Boavista Porto FC,Pedro SantosP. Santos,24,Central Midfield,Gil Vicente,?,in,NA,primeira-liga,2000
Boavista Porto FC,Artur Jorge VicenteArtur Jorge Vicente,27,Forward,Rio Ave FC,?,in,NA,primeira-liga,2000
Boavista Porto FC,GeraldoGeraldo,27,Central Midfield,Bragantino,?,in,NA,primeira-liga,2000
Boavista Porto FC,Khadim FayéK. Fayé,29,Goalkeeper,Felgueiras,?,in,NA,primeira-liga,2000
Boavista Porto FC,PetitPetit,23,Defensive Midfield,Gil Vicente,?,in,NA,primeira-liga,2000
Boavista Porto FC,FrechautFrechaut,22,Right-Back,Vitória Setúbal,?,in,NA,primeira-liga,2000
Boavista Porto FC,DudaDuda,26,Centre-Forward,Alverca,?,in,NA,primeira-liga,2000
Boavista Porto FC,Filipe GouveiaF. Gouveia,27,Left Midfield,Montpellier,?,in,NA,primeira-liga,2000
Boavista Porto FC,ErivanErivan,25,Left-Back,Freamunde,?,in,NA,primeira-liga,2000
Boavista Porto FC,BosingwaBosingwa,17,Right-Back,Boavista U19,-,in,0,primeira-liga,2000
Boavista Porto FC,Rui LimaRui Lima,22,Attacking Midfield,Chaves,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Boavista Porto FC,César de LomaC. de Loma,24,Left Midfield,CP Mérida,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Boavista Porto FC,João PauloJoão Paulo,20,Centre-Forward,Desportivo Aves,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Boavista Porto FC,Pedro MartinsPedro Martins,29,Defensive Midfield,Alverca,Free Transfer,out,0,primeira-liga,2000
Boavista Porto FC,Rui BentoRui Bento,28,Defensive Midfield,Sporting CP,Free Transfer,out,0,primeira-liga,2000
Boavista Porto FC,BosingwaBosingwa,17,Right-Back,Freamunde,Loan,out,0,primeira-liga,2000
Boavista Porto FC,Luís ManuelLuís Manuel,29,Defensive Midfield,Beira-Mar,?,out,NA,primeira-liga,2000
Boavista Porto FC,GilmarGilmar,33,Forward,Chaves,?,out,NA,primeira-liga,2000
Boavista Porto FC,Artur Jorge VicenteArtur Jorge Vicente,28,Forward,Vitória Setúbal,?,out,NA,primeira-liga,2000
Boavista Porto FC,Rui LimaRui Lima,22,Attacking Midfield,Desportivo Aves,Loan,out,0,primeira-liga,2000
Boavista Porto FC,Mário SilvaMário Silva,23,Left-Back,FC Nantes,?,out,NA,primeira-liga,2000
Boavista Porto FC,Pedro CostaP. Costa,18,Right-Back,Gondomar,?,out,NA,primeira-liga,2000
Boavista Porto FC,Carlos AlbertoCarlos Alberto,25,Defender,Lierse SK,?,out,NA,primeira-liga,2000
Boavista Porto FC,Pedro AlbergariaP. Albergaria,19,Goalkeeper,Gondomar,?,out,NA,primeira-liga,2000
Boavista Porto FC,Augustine AhinfulA. Ahinful,26,Centre-Forward,Ankaragücü,?,out,NA,primeira-liga,2000
Boavista Porto FC,NíltonNílton,21,Central Midfield,Desportivo Aves,?,out,NA,primeira-liga,2000
Boavista Porto FC,Paulo SousaP. Sousa,33,Right-Back,União Lamas,?,out,NA,primeira-liga,2000
Boavista Porto FC,César de LomaC. de Loma,24,Left Midfield,Real Betis,?,out,NA,primeira-liga,2000
Boavista Porto FC,EmanuelEmanuel,25,Central Midfield,Rio Ave FC,?,out,NA,primeira-liga,2000
Boavista Porto FC,João PauloJoão Paulo,20,Centre-Forward,Vitória Setúbal,Loan,out,0,primeira-liga,2000
Boavista Porto FC,DoualaDouala,21,Left Winger,Desportivo Aves,Loan,out,0,primeira-liga,2000
Boavista Porto FC,Ion TimofteI. Timofte,32,Left Midfield,Retired,-,out,0,primeira-liga,2000
FC Porto,Dmitri AlenichevD. Alenichev,27,Central Midfield,AS Roma,£2.70m,in,2.7,primeira-liga,2000
FC Porto,Miran PavlinM. Pavlin,28,Attacking Midfield,SC Freiburg,£810k,in,0.81,primeira-liga,2000
FC Porto,Carlos ParedesC. Paredes,23,Defensive Midfield,Olimpia,Free Transfer,in,0,primeira-liga,2000
FC Porto,PenaPena,26,Centre-Forward,Palmeiras,?,in,NA,primeira-liga,2000
FC Porto,Jorge AndradeJ. Andrade,22,Centre-Back,Estrela Amadora,?,in,NA,primeira-liga,2000
FC Porto,Pedro EspinhaPedro Espinha,34,Goalkeeper,Vit. Guimarães,?,in,NA,primeira-liga,2000
FC Porto,Juan Antonio PizziJ. Pizzi,32,Centre-Forward,CA Rosario,?,in,NA,primeira-liga,2000
FC Porto,Pedro OliveiraP. Oliveira,18,Right Winger,Boavista U19,?,in,NA,primeira-liga,2000
FC Porto,AlhandraAlhandra,21,Left-Back,Alverca,?,in,NA,primeira-liga,2000
FC Porto,FernandinhoFernandinho,19,Left-Back,EC Vitória,?,in,NA,primeira-liga,2000
FC Porto,Sergey OvchinnikovS. Ovchinnikov,29,Goalkeeper,Alverca,?,in,NA,primeira-liga,2000
FC Porto,Manuel JoséManuel José,19,Right Winger,Porto B,-,in,0,primeira-liga,2000
FC Porto,TonelTonel,20,Centre-Back,Porto B,-,in,0,primeira-liga,2000
FC Porto,Alessandro CambalhotaAlessandro Cambalhota,27,Right Winger,Fluminense,"End of loanDec 31, 2000",in,0,primeira-liga,2000
FC Porto,António FolhaA. Folha,29,Left Winger,Standard Liège,"End of loanDec 31, 2000",in,0,primeira-liga,2000
FC Porto,Miklós FehérM. Fehér,20,Centre-Forward,Salgueiros,"End of loanJun 1, 2000",in,0,primeira-liga,2000
FC Porto,Ricardo CarvalhoR. Carvalho,22,Centre-Back,Vitória Setúbal,"End of loanJun 30, 2000",in,0,primeira-liga,2000
FC Porto,JardelJardel,26,Centre-Forward,Galatasaray,£15.35m,out,15.35,primeira-liga,2000
FC Porto,JocaJoca,20,Right-Back,Famalicão,Free Transfer,out,0,primeira-liga,2000
FC Porto,TonelTonel,20,Centre-Back,Coimbra,Loan,out,0,primeira-liga,2000
FC Porto,Ljubinko DrulovicL. Drulovic,31,Attacking Midfield,Benfica,Free Transfer,out,0,primeira-liga,2000
FC Porto,Ricardo CarvalhoR. Carvalho,22,Centre-Back,Alverca,Loan,out,0,primeira-liga,2000
FC Porto,ChaínhoChaínho,25,Defensive Midfield,Real Zaragoza,Free Transfer,out,0,primeira-liga,2000
FC Porto,Marco AlmeidaMarco Almeida,21,Midfielder,Leça,Loan,out,0,primeira-liga,2000
FC Porto,Rubens JúniorRubens Júnior,25,Left-Back,Atlético-PR,Loan,out,0,primeira-liga,2000
FC Porto,Miklós FehérM. Fehér,20,Centre-Forward,Braga,Loan,out,0,primeira-liga,2000
FC Porto,Alessandro CambalhotaAlessandro Cambalhota,27,Right Winger,Cruzeiro,Loan,out,0,primeira-liga,2000
FC Porto,Argel FucksArgel Fucks,25,Centre-Back,Palmeiras,?,out,NA,primeira-liga,2000
FC Porto,RodolfoRodolfo,23,Defensive Midfield,Beira-Mar,?,out,NA,primeira-liga,2000
FC Porto,Alessandro CambalhotaAlessandro Cambalhota,27,Right Winger,Fluminense,Loan,out,0,primeira-liga,2000
FC Porto,JosivanJosivan,21,Forward,Desportivo Aves,?,out,NA,primeira-liga,2000
FC Porto,CorreiaCorreia,21,Centre-Back,Alverca,?,out,NA,primeira-liga,2000
FC Porto,AlhandraAlhandra,21,Left-Back,Coimbra,?,out,NA,primeira-liga,2000
FC Porto,Juan Antonio PizziJ. Pizzi,32,Centre-Forward,CA Rosario,?,out,NA,primeira-liga,2000
FC Porto,António FolhaA. Folha,29,Left Winger,Standard Liège,Loan,out,0,primeira-liga,2000
FC Porto,Rui BarrosR. Barros,34,Attacking Midfield,Retired,-,out,0,primeira-liga,2000
FC Porto,CajúCajú,23,Forward,Alverca,"End of loanJun 30, 2000",out,0,primeira-liga,2000
Sporting CP,Rodrigo TelloR. Tello,21,Left Midfield,U. de Chile,£6.30m,in,6.3,primeira-liga,2000
Sporting CP,Pavel HorvathP. Horvath,25,Defensive Midfield,Slavia Prag,£1.35m,in,1.35,primeira-liga,2000
Sporting CP,Rodrigo FabriR. Fabri,24,Central Midfield,Real Valladolid,£810k,in,0.81,primeira-liga,2000
Sporting CP,Chiquinho DelgadoChiquinho Delgado,19,Centre-Forward,Naval,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Phil BabbPhil Babb,29,Centre-Back,Liverpool,Free Transfer,in,0,primeira-liga,2000
Sporting CP,CucoCuco,18,Central Midfield,Rio Tinto,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Alan MahonA. Mahon,22,Left Midfield,Tranmere Rovers,Free Transfer,in,0,primeira-liga,2000
Sporting CP,João PintoJoão Pinto,28,Second Striker,Benfica,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Houssine KharjaH. Kharja,17,Central Midfield,GFCO Ajaccio,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Rui BentoRui Bento,28,Defensive Midfield,Boavista,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Jovan KirovskiJ. Kirovski,24,Right Winger,Bor. Dortmund,Free Transfer,in,0,primeira-liga,2000
Sporting CP,Sá PintoSá Pinto,27,Second Striker,Real Sociedad,?,in,NA,primeira-liga,2000
Sporting CP,VargasVargas,21,Right Winger,Espinho,?,in,NA,primeira-liga,2000
Sporting CP,Hélder RosárioH. Rosário,20,Centre-Back,Lourinhanense,?,in,NA,primeira-liga,2000
Sporting CP,Jorge VidigalJorge Vidigal,22,Right-Back,Estoril,?,in,NA,primeira-liga,2000
Sporting CP,Mario CáceresM. Cáceres,19,Centre-Forward,Colo Colo,Loan,in,0,primeira-liga,2000
Sporting CP,Bruno CairesBruno Caires,24,Defensive Midfield,CD Tenerife,?,in,NA,primeira-liga,2000
Sporting CP,PaítoPaíto,17,Left-Back,Maxaquene,?,in,NA,primeira-liga,2000
Sporting CP,Bruno SousaBruno Sousa,18,Centre-Back,Lourinhanense,?,in,NA,primeira-liga,2000
Sporting CP,Paulo TeixeiraPaulo Teixeira,19,Defensive Midfield,Lourinhanense,?,in,NA,primeira-liga,2000
Sporting CP,Jorge BrítezJ. Brítez,19,Defensive Midfield,Real Valladolid,?,in,NA,primeira-liga,2000
Sporting CP,Paulo BentoP. Bento,31,Defensive Midfield,Real Oviedo,?,in,NA,primeira-liga,2000
Sporting CP,DimasDimas,31,Left-Back,Standard Liège,?,in,NA,primeira-liga,2000
Sporting CP,Nuno SantosNuno Santos,21,Goalkeeper,Lourinhanense,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Sporting CP,Marco CaneiraM. Caneira,21,Centre-Back,Alverca,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Sporting CP,SantamariaSantamaria,18,Centre-Back,Lourinhanense,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Sporting CP,Márcio RamosM. Ramos,19,Goalkeeper,Lourinhanense,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Sporting CP,PatacasPatacas,22,Right-Back,Lourinhanense,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Sporting CP,Aldo DuscherA. Duscher,21,Defensive Midfield,Dep. La Coruña,£11.70m,out,11.7,primeira-liga,2000
Sporting CP,Abdelilah SaberA. Saber,26,Right-Back,SSC Napoli,£2.25m,out,2.25,primeira-liga,2000
Sporting CP,Alan MahonA. Mahon,22,Left Midfield,Blackburn,£2.07m,out,2.07,primeira-liga,2000
Sporting CP,Facundo QuirogaF. Quiroga,22,Centre-Back,SSC Napoli,Loan,out,0,primeira-liga,2000
Sporting CP,Marco CaneiraM. Caneira,21,Centre-Back,Reggina,Free Transfer,out,0,primeira-liga,2000
Sporting CP,ViníciusVinícius,23,Centre-Back,Standard Liège,Free Transfer,out,0,primeira-liga,2000
Sporting CP,PatacasPatacas,22,Right-Back,Campomaiorense,Loan,out,0,primeira-liga,2000
Sporting CP,Mauricio Favio HanuchM. Hanuch,23,Central Midfield,Estudiantes,?,out,NA,primeira-liga,2000
Sporting CP,Ivone De FranceschiI. De Franceschi,26,Left Winger,AC Venezia 1907,?,out,NA,primeira-liga,2000
Sporting CP,Vasco FaíscaV. Faísca,19,Centre-Back,Inter U19,?,out,NA,primeira-liga,2000
Sporting CP,José Luís VidigalJ. Vidigal,27,Central Midfield,SSC Napoli,?,out,NA,primeira-liga,2000
Sporting CP,Julián Andrés KmetJ. Kmet,22,Left Winger,Lanús,?,out,NA,primeira-liga,2000
Sporting CP,MarcosMarcos,24,Centre-Back,EC Vitória,?,out,NA,primeira-liga,2000
Sporting CP,Kwame AyewK. Ayew,26,Centre-Forward,Yimpas Yozgat,?,out,NA,primeira-liga,2000
SC Braga,Abiodun AgunbiadeA. Agunbiade,17,Right Winger,Plateau United,Free Transfer,in,0,primeira-liga,2000
SC Braga,SousaSousa,22,Right-Back,Alverca,?,in,NA,primeira-liga,2000
SC Braga,SenaSena,22,Right-Back,Dep. La Coruña,?,in,NA,primeira-liga,2000
SC Braga,EdmilsonEdmilson,32,Forward,Vit. Guimarães,?,in,NA,primeira-liga,2000
SC Braga,Miklós FehérM. Fehér,20,Centre-Forward,FC Porto,Loan,in,0,primeira-liga,2000
SC Braga,Luís ManuelLuís Manuel,19,Defensive Midfield,Braga U19,-,in,0,primeira-liga,2000
SC Braga,Elpídio SilvaElpídio Silva,24,Centre-Forward,Boavista,£630k,out,0.63,primeira-liga,2000
SC Braga,JordãoJordão,28,Defensive Midfield,West Brom,£405k,out,0.405,primeira-liga,2000
SC Braga,Nuno CavaleiroNuno Cavaleiro,24,Right Winger,Moreirense,?,out,NA,primeira-liga,2000
SC Braga,KataKata,22,Defensive Midfield,Paroquial de Fátima,?,out,NA,primeira-liga,2000
SC Braga,LinoLino,28,Defender,Unknown,?,out,NA,primeira-liga,2000
SC Braga,Alberto CabralAlberto Cabral,31,Left-Back,Maia,?,out,NA,primeira-liga,2000
União de Leiria,Bruno RibeiroBruno Ribeiro,25,Left Midfield,Sheffield Utd.,?,in,NA,primeira-liga,2000
União de Leiria,TiagoTiago,25,Defensive Midfield,CD Tenerife,?,in,NA,primeira-liga,2000
União de Leiria,CostinhaCostinha,26,Goalkeeper,CD Tenerife,?,in,NA,primeira-liga,2000
União de Leiria,Vasco ÉvoraVasco Évora,21,Goalkeeper,GDR Bidoeirense,?,in,NA,primeira-liga,2000
União de Leiria,Éder GaúchoÉder Gaúcho,22,Centre-Back,Grêmio,?,in,NA,primeira-liga,2000
União de Leiria,BrunoBruno,15,Goalkeeper,Leiria U19,-,in,0,primeira-liga,2000
União de Leiria,João PauloJoão Paulo,19,Centre-Back,Tomar,Loan,out,0,primeira-liga,2000
União de Leiria,MarçalMarçal,25,Defender,Boavista,Free Transfer,out,0,primeira-liga,2000
União de Leiria,Pedro MingoteP. Mingote,19,Goalkeeper,Naval,Free Transfer,out,0,primeira-liga,2000
União de Leiria,RamosRamos,19,Centre-Back,Vila FC,?,out,NA,primeira-liga,2000
SL Benfica,RogerRoger,21,Attacking Midfield,Fluminense,£6.75m,in,6.75,primeira-liga,2000
SL Benfica,Pierre van HooijdonkP. van Hooijdonk,30,Centre-Forward,Vitesse,£6.12m,in,6.12,primeira-liga,2000
SL Benfica,Fernando MeiraF. Meira,22,Centre-Back,Vit. Guimarães,£3.60m,in,3.6,primeira-liga,2000
SL Benfica,MiguelMiguel,20,Right-Back,Estrela Amadora,Free Transfer,in,0,primeira-liga,2000
SL Benfica,Ljubinko DrulovicL. Drulovic,31,Attacking Midfield,FC Porto,Free Transfer,in,0,primeira-liga,2000
SL Benfica,Carlos MarchenaC. Marchena,20,Centre-Back,Sevilla FC,Free Transfer,in,0,primeira-liga,2000
SL Benfica,Ivan DudicI. Dudic,23,Right-Back,Red Star,Free Transfer,in,0,primeira-liga,2000
SL Benfica,Alejandro EscalonaA. Escalona,20,Left-Back,Torino,?,in,NA,primeira-liga,2000
SL Benfica,Ricardo EstevesR. Esteves,21,Right Midfield,Alverca,?,in,NA,primeira-liga,2000
SL Benfica,André NelesA. Neles,22,Centre-Forward,Atlético-MG,?,in,NA,primeira-liga,2000
SL Benfica,EdnilsonEdnilson,18,Defensive Midfield,AS Roma,?,in,NA,primeira-liga,2000
SL Benfica,CarlitosCarlitos,23,Right Winger,Gil Vicente,?,in,NA,primeira-liga,2000
SL Benfica,Nuno MarquesNuno Marques,19,Goalkeeper,Benfica B,-,in,0,primeira-liga,2000
SL Benfica,Diogo LuísDiogo Luís,19,Left-Back,Benfica U19,-,in,0,primeira-liga,2000
SL Benfica,Paulo FonsecaPaulo Fonseca,18,Right-Back,Benfica U19,-,in,0,primeira-liga,2000
SL Benfica,Jorge RibeiroJ. Ribeiro,19,Left-Back,Santa Clara,"End of loanDec 31, 2000",in,0,primeira-liga,2000
SL Benfica,Geraldo AlvesG. Alves,19,Centre-Back,Benfica B,-,in,0,primeira-liga,2000
SL Benfica,Rui BaiãoR. Baião,20,Attacking Midfield,Alverca,"End of loanDec 31, 2000",in,0,primeira-liga,2000
SL Benfica,Nuno GomesNuno Gomes,23,Centre-Forward,Fiorentina,£15.30m,out,15.3,primeira-liga,2000
SL Benfica,Karel PoborskyK. Poborsky,28,Right Midfield,Lazio,£2.03m,out,2.03,primeira-liga,2000
SL Benfica,Ricardo RojasR. Rojas,29,Right-Back,River Plate,Loan fee:£180k,out,0.18,primeira-liga,2000
SL Benfica,Triantafyllos MacheridisT. Macheridis,27,Defensive Midfield,PS Kalamata,Loan,out,0,primeira-liga,2000
SL Benfica,João PintoJoão Pinto,28,Second Striker,Sporting CP,Free Transfer,out,0,primeira-liga,2000
SL Benfica,Jorge RibeiroJ. Ribeiro,18,Left-Back,Santa Clara,Loan,out,0,primeira-liga,2000
SL Benfica,Michael ThomasM. Thomas,32,Right Midfield,Wimbledon FC,Free Transfer,out,0,primeira-liga,2000
SL Benfica,RogerRoger,22,Attacking Midfield,Fluminense,Loan,out,0,primeira-liga,2000
SL Benfica,Rui BaiãoR. Baião,19,Attacking Midfield,Alverca,Loan,out,0,primeira-liga,2000
SL Benfica,DaniDani,23,Attacking Midfield,Atlético Madrid,?,out,NA,primeira-liga,2000
SL Benfica,Marco FreitasMarco Freitas,27,Defensive Midfield,Alverca,Loan,out,0,primeira-liga,2000
SL Benfica,PorfírioPorfírio,26,Left Midfield,Marítimo,Loan,out,0,primeira-liga,2000
SL Benfica,Nuno SantosN. Santos,27,Goalkeeper,CD Badajoz,?,out,NA,primeira-liga,2000
SL Benfica,Luís CarlosLuís Carlos,27,Attacking Midfield,Estrela Amadora,?,out,NA,primeira-liga,2000
SL Benfica,Samuel OkunowoS. Okunowo,21,Right-Back,FC Barcelona,"End of loanJun 30, 2000",out,0,primeira-liga,2000
SL Benfica,ToteTote,21,Attacking Midfield,Real Madrid,"End of loanJun 30, 2000",out,0,primeira-liga,2000
Os Belenenses SAD,GugaGuga,23,Right Winger,Gil Vicente,Free Transfer,in,0,primeira-liga,2000
Os Belenenses SAD,Carlos ManuelCarlos Manuel,21,Central Midfield,Alcains,?,in,NA,primeira-liga,2000
Os Belenenses SAD,CléberCléber,26,Centre-Back,UA Barbarense,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Bruno FernandesB. Fernandes,21,Centre-Back,Alcochentense,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Brian WaltripB. Waltrip,22,Right Midfield,Tampere United,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Paulo DiasPaulo Dias,22,Defensive Midfield,Coimbra,?,in,NA,primeira-liga,2000
Os Belenenses SAD,VeronaVerona,26,Attacking Midfield,Estrela Amadora,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Pedro HenriquesPedro Henriques,25,Left-Back,Vitória Setúbal,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Fábio CosmeF. Cosme,22,Defensive Midfield,Caçadores,?,in,NA,primeira-liga,2000
Os Belenenses SAD,Pedro AlvesPedro Alves,21,Goalkeeper,Fátima,"End of loanJun 30, 2000",in,0,primeira-liga,2000
Os Belenenses SAD,Marco BotelhoM. Botelho,24,Goalkeeper,Vitória Setúbal,Free Transfer,out,0,primeira-liga,2000
Os Belenenses SAD,Rui GregórioRui Gregório,31,Defender,Santa Clara,?,out,NA,primeira-liga,2000
Os Belenenses SAD,Fernando MendesF. Mendes,33,Left-Back,Vitória Setúbal,?,out,NA,primeira-liga,2000
Os Belenenses SAD,José CarlosJosé Carlos,33,Right-Back,Retired,-,out,0,primeira-liga,2000
SC Beira-Mar,FilipeFilipe,26,Centre-Back,Freamunde,?,in,NA,primeira-liga,2000
SC Beira-Mar,Ricardo SousaRicardo Sousa,21,Attacking Midfield,Santa Clara,?,in,NA,primeira-liga,2000
SC Beira-Mar,Luís ManuelLuís Manuel,29,Defensive Midfield,Boavista,?,in,NA,primeira-liga,2000
SC Beira-Mar,RodolfoRodolfo,23,Defensive Midfield,FC Porto,?,in,NA,primeira-liga,2000
SC Beira-Mar,AvelinoAvelino,24,Goalkeeper,Penafiel,?,in,NA,primeira-liga,2000
SC Beira-Mar,GamboaGamboa,27,Centre-Forward,Santa Clara,?,in,NA,primeira-liga,2000
SC Beira-Mar,AreiasAreias,23,Left-Back,Ovarense,?,in,NA,primeira-liga,2000
SC Beira-Mar,Maxwell KonaduM. Konadu,28,Forward,Marinhense,?,out,NA,primeira-liga,2000
SC Beira-Mar,CaetanoCaetano,33,Left-Back,Feirense,?,out,NA,primeira-liga,2000
SC Beira-Mar,Tobias GrahnT. Grahn,20,Central Midfield,Lyngby BK,?,out,NA,primeira-liga,2000
FC Paços de Ferreira,BetoBeto,23,Central Midfield,Sport Recife,£900k,in,0.9,primeira-liga,2000
FC Paços de Ferreira,GlauberGlauber,25,Defensive Midfield,Sport Recife,Free Transfer,in,0,primeira-liga,2000
FC Paços de Ferreira,Zé NandoZé Nando,24,Left-Back,Gil Vicente,?,in,NA,primeira-liga,2000
FC Paços de Ferreira,PinhoPinho,28,Goalkeeper,Freamunde,?,in,NA,primeira-liga,2000
FC Paços de Ferreira,FormosoFormoso,26,Left Winger,Santa Clara,?,in,NA,primeira-liga,2000
FC Paços de Ferreira,GasparGaspar,25,Centre-Back,Alverca,?,in,NA,primeira-liga,2000
FC Paços de Ferreira,VitinhaVitinha,24,Left-Back,Trofense,?,in,NA,primeira-liga,2000
FC Paços de Ferreira,CadúCadú,18,Centre-Back,Paços F. U19,-,in,0,primeira-liga,2000
FC Paços de Ferreira,Miguel ReisinhoM. Reisinho,25,Right Winger,Marco,Free Transfer,out,0,primeira-liga,2000
FC Paços de Ferreira,CadúCadú,18,Centre-Back,Aliados Lordelo,Loan,out,0,primeira-liga,2000
FC Paços de Ferreira,Paulo VidaPaulo Vida,29,Centre-Forward,Campomaiorense,?,out,NA,primeira-liga,2000
FC Paços de Ferreira,José TavaresJ. Tavares,35,Central Midfield,Infesta,?,out,NA,primeira-liga,2000
FC Paços de Ferreira,Rui MiguelRui Miguel,25,Centre-Forward,Vitória Setúbal,?,out,NA,primeira-liga,2000
FC Paços de Ferreira,Gabriel Alejandro GervinoG. Gervino,35,Central Midfield,Olhanense,?,out,NA,primeira-liga,2000
SC Salgueiros,Ahmed OuattaraA. Ouattara,30,Centre-Forward,CF Extremadura,?,in,NA,primeira-liga,2000
SC Salgueiros,BodunhaBodunha,25,Right-Back,Espinho,?,in,NA,primeira-liga,2000
SC Salgueiros,NandinhoNandinho,24,Left-Back,Maia,?,in,NA,primeira-liga,2000
SC Salgueiros,André MacangaA. Macanga,22,Defensive Midfield,Alverca,Free Transfer,out,0,primeira-liga,2000
SC Salgueiros,PaulinhoPaulinho,34,Centre-Back,Estoril,Free Transfer,out,0,primeira-liga,2000
SC Salgueiros,Marcelo VerónM. Verón,22,Forward,Platense,Free Transfer,out,0,primeira-liga,2000
SC Salgueiros,Silvino LouroS. Louro,41,Goalkeeper,Retired,-,out,0,primeira-liga,2000
SC Salgueiros,Basarab PanduruB. Panduru,29,Attacking Midfield,Retired,-,out,0,primeira-liga,2000
SC Salgueiros,Miklós FehérM. Fehér,20,Centre-Forward,FC Porto,"End of loanJun 1, 2000",out,0,primeira-liga,2000
CS Marítimo,Marco LagartoM. Lagarto,NA,Attacking Midfield,Farense,Free Transfer,in,0,primeira-liga,2000
CS Marítimo,Walter OttaW. Otta,27,Centre-Forward,Marathón,?,in,NA,primeira-liga,2000
CS Marítimo,QuimQuim,26,Centre-Forward,Dundee United,?,in,NA,primeira-liga,2000
CS Marítimo,BakeroBakero,22,Left Winger,Sevilla FC,?,in,NA,primeira-liga,2000
CS Marítimo,Rubén Darío FerrerR. Ferrer,25,Forward,Los Andes,?,in,NA,primeira-liga,2000
CS Marítimo,PorfírioPorfírio,26,Left Midfield,Benfica,Loan,in,0,primeira-liga,2000
CS Marítimo,Luís OlimL. Olim,19,Left-Back,Marítimo U19,-,in,0,primeira-liga,2000
CS Marítimo,DannyDanny,16,Attacking Midfield,Marítimo U19,-,in,0,primeira-liga,2000
CS Marítimo,BriguelBriguel,21,Right-Back,Marítimo B,-,in,0,primeira-liga,2000
CS Marítimo,FernandoFernando,19,Centre-Back,Marítimo B,-,in,0,primeira-liga,2000
CS Marítimo,Rui ÓscarRui Óscar,24,Right-Back,Boavista,Free Transfer,out,0,primeira-liga,2000
CS Marítimo,Paulo PereiraPaulo Pereira,23,Defensive Midfield,Ovarense,Free Transfer,out,0,primeira-liga,2000
CS Marítimo,Nuno AfonsoNuno Afonso,25,Centre-Back,Desportivo Aves,?,out,NA,primeira-liga,2000
CS Marítimo,Jörg SmeetsJ. Smeets,29,Midfielder,Helmond Sport,?,out,NA,primeira-liga,2000
CS Marítimo,Yves Van Der StraetenY. Van Der Straeten,29,Goalkeeper,Lierse SK,?,out,NA,primeira-liga,2000
CS Marítimo,Johann DuveauJ. Duveau,22,Left Winger,Torpedo Moscow,?,out,NA,primeira-liga,2000
CS Marítimo,Ion SburleaI. Sburlea,29,Centre-Back,C. Piatra Neamt,?,out,NA,primeira-liga,2000
CS Marítimo,Mariano ToedtliM. Toedtli,24,Centre-Forward,UD Salamanca,?,out,NA,primeira-liga,2000
CS Marítimo,ToniToni,27,Forward,Leça,?,out,NA,primeira-liga,2000
FC Alverca,Pedro MartinsPedro Martins,29,Defensive Midfield,Boavista,Free Transfer,in,0,primeira-liga,2000
FC Alverca,Mickaël TavaresM. Tavares,17,Defensive Midfield,US Créteil,Free Transfer,in,0,primeira-liga,2000
FC Alverca,Ricardo CarvalhoR. Carvalho,22,Centre-Back,FC Porto,Loan,in,0,primeira-liga,2000
FC Alverca,ErnestoErnesto,20,Goalkeeper,Barreirense,Free Transfer,in,0,primeira-liga,2000
FC Alverca,TinaiaTinaia,21,Left-Back,Real Madrid C,Free Transfer,in,0,primeira-liga,2000
FC Alverca,GabrielGabriel,22,Midfielder,Lourinhanense,Free Transfer,in,0,primeira-liga,2000
FC Alverca,André MacangaA. Macanga,22,Defensive Midfield,Salgueiros,Free Transfer,in,0,primeira-liga,2000
FC Alverca,Nicolas PaviotN. Paviot,25,Right-Back,Toulouse,?,in,NA,primeira-liga,2000
FC Alverca,TitoTito,28,Left-Back,Vit. Guimarães,?,in,NA,primeira-liga,2000
FC Alverca,Marco FreitasMarco Freitas,27,Defensive Midfield,Benfica,Loan,in,0,primeira-liga,2000
FC Alverca,Rui BaiãoR. Baião,19,Attacking Midfield,Benfica,Loan,in,0,primeira-liga,2000
FC Alverca,Chiquinho CondeC. Conde,34,Centre-Forward,Vitória Setúbal,?,in,NA,primeira-liga,2000
