club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
FC Girondins Bordeaux,Zinédine Zidane,20,Attacking Midfield,Cannes,£6.30m,in,6.3,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Márcio Santos,22,Centre-Back,Botafogo,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Christophe Vecchioni,23,Defender,US Marseille Endoume,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Philippe Lucas,28,Defensive Midfield,FC Sochaux,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Michel Flos,27,Midfielder,US Marseille Endoume,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Valdeir,24,Second Striker,Botafogo,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Laurent Croci,27,Defensive Midfield,FC Sochaux,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Jean-Francois Daniel,28,Central Midfield,Cannes,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Eric Guérit,27,Defensive Midfield,Cannes,?,in,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Patrice Lestage,30,Left-Back,Cannes,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Philippe Raschke,24,Right-Back,Cannes,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Philippe Fargeon,28,Second Striker,FC Chiasso,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Thierry Fernier,27,Attacking Midfield,US Valenciennes,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Jean-Michel Lavaud,23,Forward,FC Trélissac,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Arnór Gudjohnsen,31,Centre-Forward,Häcken,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Jean-Pierre Bade,32,Left-Back,Saint-Pierroise,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Philippe Lalanne,26,Midfielder,ASOA Valence,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Rainer Ernst,30,Midfielder,Cannes,?,out,NA,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Pascal Monbrun,24,Midfielder,G. Bordeaux B,-,out,0,Ligue 1,1992,1992/1993
FC Girondins Bordeaux,Jean-Marc Ferratge,33,Attacking Midfield,Retired,-,out,0,Ligue 1,1992,1992/1993
AS Monaco,Jürgen Klinsmann,27,Centre-Forward,Inter,£6.30m,in,6.3,Ligue 1,1992,1992/1993
AS Monaco,Sylvain Legwinski,19,Left Midfield,Racing Club Vichy,Free Transfer,in,0,Ligue 1,1992,1992/1993
AS Monaco,Franck Dumas,24,Centre-Back,SM Caen,?,in,NA,Ligue 1,1992,1992/1993
AS Monaco,Denis Schaer,29,Midfielder,Annecy FC,?,in,NA,Ligue 1,1992,1992/1993
AS Monaco,Christian Perez,29,Attacking Midfield,Paris SG,?,in,NA,Ligue 1,1992,1992/1993
AS Monaco,Luiz Henrique,23,Central Midfield,Palmeiras,?,in,NA,Ligue 1,1992,1992/1993
AS Monaco,Stjepan Andrijasevic,25,Right Midfield,Hajduk Split,?,in,NA,Ligue 1,1992,1992/1993
AS Monaco,George Weah,25,Centre-Forward,Paris SG,£5.85m,out,5.85,Ligue 1,1992,1992/1993
AS Monaco,James Debbah,22,Centre-Forward,Olympique Lyon,Free Transfer,out,0,Ligue 1,1992,1992/1993
AS Monaco,John Sivebaek,30,Right-Back,Pescara,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Gérald Passi,28,Attacking Midfield,Saint-Étienne,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Christophe Robert,28,Left Winger,US Valenciennes,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Jimmy Algérino,20,Right-Back,SAS Epinal,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Roger Mendy,32,Sweeper,Pescara,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Benjamin Clément,26,Defensive Midfield,FC Sochaux,?,out,NA,Ligue 1,1992,1992/1993
AS Monaco,Cyril Granon,20,Midfielder,FC Lorient,"End of loanJul 1, 1992",out,0,Ligue 1,1992,1992/1993
AS Monaco,Christophe Métais,24,Midfielder,Retired,-,out,0,Ligue 1,1992,1992/1993
Olympique Marseille,François Omam-Biyik,26,Centre-Forward,Cannes,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Jean-Jacques Eydelie,26,Defensive Midfield,FC Nantes,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Rudi Völler,32,Centre-Forward,AS Roma,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Jean-Christophe Thomas,27,Defensive Midfield,FC Sochaux,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Igor Dobrovolski,25,Attacking Midfield,Genoa,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Marcel Desailly,23,Centre-Back,FC Nantes,?,in,NA,Ligue 1,1992,1992/1993
Olympique Marseille,Rafael Martin Vazquez,26,Attacking Midfield,Torino,?,in,NA,Ligue 1,1992,1992/1993
