club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Real Zaragoza,Carlos Cuartero,16,Right-Back,Real Zaragoza B,-,in,0,Primera Division,1992,1992/1993
Real Zaragoza,Pablo Alfaro,23,Centre-Back,FC Barcelona,£1.35m,out,1.35,Primera Division,1992,1992/1993
Real Zaragoza,Edison Suárez,25,Midfielder,Nacional,?,out,NA,Primera Division,1992,1992/1993
Real Zaragoza,Pascual Sanz,29,Midfielder,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Real Zaragoza,Dorin Mateut,27,Attacking Midfield,Brescia,?,out,NA,Primera Division,1992,1992/1993
Real Zaragoza,Alfonso Fraile,32,Centre-Back,Retired,-,out,0,Primera Division,1992,1992/1993
CD Logroñés,Víctor Torres Mestre,22,Left-Back,Real Madrid B,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Amarildo,27,Forward,Famalicão,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Francisco Antón,24,Left-Back,UD Salamanca,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Juan Manuel Suárez,26,Midfielder,Sporting Gijón,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Marcelo Vega,20,Attacking Midfield,Española,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Jesús Dulce,21,Right-Back,Logroñés B,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Iñaki Eraña,27,Midfielder,Real Murcia,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Oleg Salenko,22,Centre-Forward,Dynamo Kyiv,?,in,NA,Primera Division,1992,1992/1993
CD Logroñés,Romero,21,Left-Back,CD Logroñés B,-,in,0,Primera Division,1992,1992/1993
CD Logroñés,Rubén Da Silva,24,Forward,River Plate,?,out,NA,Primera Division,1992,1992/1993
CD Logroñés,José María López,27,Left-Back,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
CD Logroñés,Juan José Elgezabal,28,Central Midfield,Espanyol,?,out,NA,Primera Division,1992,1992/1993
CD Logroñés,Toni Polster,28,Centre-Forward,Rayo Vallecano,?,out,NA,Primera Division,1992,1992/1993
CD Logroñés,Salva,31,Centre-Back,Retired,-,out,0,Primera Division,1992,1992/1993
CA Osasuna,Sánchez Jara,22,Midfielder,Unknown,?,in,NA,Primera Division,1992,1992/1993
CA Osasuna,Iru,29,Goalkeeper,Athletic,?,in,NA,Primera Division,1992,1992/1993
CA Osasuna,Roman Kosecki,26,Centre-Forward,Galatasaray,?,in,NA,Primera Division,1992,1992/1993
CA Osasuna,Ignacio Ibáñez,28,Midfielder,Valencia,?,out,NA,Primera Division,1992,1992/1993
CA Osasuna,Jesús Unanua,23,Goalkeeper,Albacete,?,out,NA,Primera Division,1992,1992/1993
CA Osasuna,Edu García,23,Midfielder,Racing,?,out,NA,Primera Division,1992,1992/1993
CA Osasuna,Miguel Sola,34,Attacking Midfield,Retired,-,out,0,Primera Division,1992,1992/1993
CA Osasuna,Fermín De Luis,28,Defender,Retired,-,out,0,Primera Division,1992,1992/1993
Rayo Vallecano,Toni Polster,28,Centre-Forward,CD Logroñés,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Josip Visnjic,25,Midfielder,Mérida UD,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Paco Jémez,22,Centre-Back,Real Murcia,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Pizo Gómez,28,Midfielder,Atlético Madrid,Loan,in,0,Primera Division,1992,1992/1993
Rayo Vallecano,Javi García,22,Forward,FC Barcelona B,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Pablo Gómez,22,Central Midfield,UE Lleida,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Toni Jiménez,21,Goalkeeper,UE Figueres,?,in,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Ángel Ferez,26,Goalkeeper,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Hernán Medford,24,Centre-Forward,Foggia,?,out,NA,Primera Division,1992,1992/1993
Rayo Vallecano,Ricardo Gallego,33,Defensive Midfield,Retired,-,out,0,Primera Division,1992,1992/1993
Rayo Vallecano,Ángel Sánchez Candil,29,Midfielder,Retired,-,out,0,Primera Division,1992,1992/1993
Rayo Vallecano,Rafael García Cortés,34,Left-Back,Retired,-,out,0,Primera Division,1992,1992/1993
Sevilla FC,Ricardo Bango,23,Midfielder,Real Oviedo,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Losada,24,Forward,Atlético Madrid,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Diego Simeone,22,Central Midfield,AC Pisa,?,in,NA,Primera Division,1992,1992/1993
Sevilla FC,Diego Maradona,31,Attacking Midfield,Without Club,-,in,0,Primera Division,1992,1992/1993
Sevilla FC,Iván Zamorano,25,Centre-Forward,Real Madrid,£3.15m,out,3.15,Primera Division,1992,1992/1993
Sevilla FC,Fernando Peralta,31,Goalkeeper,CD Castellón,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Ramón,28,Centre-Forward,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Zeljko Petrovic,26,Right-Back,FC Den Bosch,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Pablo Bengoechea,27,Attacking Midfield,Gimnasia,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,Pascual Llopis,24,Right-Back,Villarreal,?,out,NA,Primera Division,1992,1992/1993
Sevilla FC,José Antonio Salguero,32,Centre-Back,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Iván Zamorano,25,Centre-Forward,Sevilla FC,£3.15m,in,3.15,Primera Division,1992,1992/1993
Real Madrid,Nando,24,Centre-Back,FC Barcelona,?,in,NA,Primera Division,1992,1992/1993
Real Madrid,Luis Miguel Ramis,21,Centre-Back,Real Madrid B,-,in,0,Primera Division,1992,1992/1993
Real Madrid,Juanmi,21,Goalkeeper,Real Madrid B,-,in,0,Primera Division,1992,1992/1993
Real Madrid,Ismael Urzaiz,20,Centre-Forward,Albacete,"End of loanJun 30, 1992",in,0,Primera Division,1992,1992/1993
Real Madrid,Santiago Cañizares,22,Goalkeeper,Mérida UD,"End of loanJun 30, 1992",in,0,Primera Division,1992,1992/1993
Real Madrid,Gheorghe Hagi,27,Attacking Midfield,Brescia,£1.80m,out,1.8,Primera Division,1992,1992/1993
Real Madrid,Ismael Urzaiz,20,Centre-Forward,Celta de Vigo,Loan,out,0,Primera Division,1992,1992/1993
Real Madrid,Miguel Tendillo,31,Centre-Back,Burgos CF,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Santiago Cañizares,22,Goalkeeper,Celta de Vigo,Loan,out,0,Primera Division,1992,1992/1993
Real Madrid,Ricardo Rocha,29,Centre-Back,Santos FC,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Adolfo Aldana,26,Right Midfield,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Hugo Sánchez,33,Centre-Forward,América,?,out,NA,Primera Division,1992,1992/1993
Real Madrid,Rafael Gordillo,35,Left-Back,Real Betis,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Julen Guerrero,18,Attacking Midfield,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
Athletic Bilbao,Carlos García,21,Defensive Midfield,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
Athletic Bilbao,Juan José Valencia,20,Goalkeeper,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
Athletic Bilbao,Jon Ander Lambea,18,Defensive Midfield,Bilbao Athletic,-,in,0,Primera Division,1992,1992/1993
Athletic Bilbao,Patxi Salinas,28,Centre-Back,Celta de Vigo,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Luis Fernández,27,Midfielder,Burgos CF,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Iru,29,Goalkeeper,CA Osasuna,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Crescencio Cuéllar,22,Forward,SD Eibar,?,out,NA,Primera Division,1992,1992/1993
Athletic Bilbao,Ismael Urtubi,31,Left Midfield,Unknown,?,out,NA,Primera Division,1992,1992/1993
CD Tenerife,Diego Latorre,23,Second Striker,Fiorentina,?,in,NA,Primera Division,1992,1992/1993
CD Tenerife,Alexis Trujillo,26,Midfielder,UD Las Palmas,?,in,NA,Primera Division,1992,1992/1993
CD Tenerife,César Gómez,24,Centre-Back,Real Valladolid,?,in,NA,Primera Division,1992,1992/1993
CD Tenerife,José Manuel Ochotorena,31,Goalkeeper,Valencia,?,in,NA,Primera Division,1992,1992/1993
CD Tenerife,José del Solar,24,Defensive Midfield,CDUC,?,in,NA,Primera Division,1992,1992/1993
CD Tenerife,Isidro García,26,Defender,Mensajero,?,out,NA,Primera Division,1992,1992/1993
CD Tenerife,Francis,29,Midfielder,Marbella FC,?,out,NA,Primera Division,1992,1992/1993
CD Tenerife,Quique Estebaranz,26,Centre-Forward,FC Barcelona,?,out,NA,Primera Division,1992,1992/1993
CD Tenerife,Salvador Revert,30,Defender,Retired,-,out,0,Primera Division,1992,1992/1993
Real Sociedad,Alberto López,23,Goalkeeper,Real Sociedad B,-,in,0,Primera Division,1992,1992/1993
Real Sociedad,Javier Yubero,20,Goalkeeper,Real Sociedad B,-,in,0,Primera Division,1992,1992/1993
Real Sociedad,Iñigo Idiakez,18,Attacking Midfield,R. Sociedad U19,-,in,0,Primera Division,1992,1992/1993
Real Sociedad,José González,27,Goalkeeper,Valencia,?,out,NA,Primera Division,1992,1992/1993
Real Sociedad,Agustín Gajate,34,Centre-Back,Retired,-,out,0,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Roberto,20,Central Midfield,CE L’Hospitalet,?,in,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Jordi Lardín,19,Left Winger,CE Sabadell,?,in,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Gregorio Fonseca,26,Forward,Real Valladolid,?,in,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Juan José Elgezabal,28,Central Midfield,CD Logroñés,?,in,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Wolfram Wuttke,30,Second Striker,Saarbrücken,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Javier Diaz Pons,24,Midfielder,CP Mérida,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,José Luis Ablanedo,30,Defender,Sporting Gijón,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,José Luis Gallardo,20,Centre-Back,UE Lleida,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Antoni Lima,21,Centre-Back,Palamós CF,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Carlos Alfaro,27,Forward,Palamós CF,?,out,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Carlos Meléndez,35,Goalkeeper,Retired,-,out,0,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Pizo Gómez,28,Midfielder,Atlético Madrid,"End of loanJun 30, 1992",out,0,Primera Division,1992,1992/1993
Deportivo de La Coruña,Mauro Silva,24,Defensive Midfield,Bragantino,£1.44m,in,1.44,Primera Division,1992,1992/1993
Deportivo de La Coruña,Bebeto,28,Centre-Forward,Vasco da Gama,£630k,in,0.63,Primera Division,1992,1992/1993
Deportivo de La Coruña,Georgi Slavchev,23,Defender,Levski Sofia,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Ramón,28,Centre-Forward,Sevilla FC,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Adolfo Aldana,26,Right Midfield,Real Madrid,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Nando,25,Defender,Valencia,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Ricardo Serna,28,Centre-Back,FC Barcelona,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Marcos Vales,17,Right Midfield,Unknown,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Atanas Kirov,22,Forward,CD Málaga,?,in,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Jon Aspiazu,29,Midfielder,Sestao River,?,out,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Zoran Stojadinovic,31,Forward,FE Figueres,?,out,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Pello Uralde,34,Centre-Forward,Retired,-,out,0,Primera Division,1992,1992/1993
Deportivo de La Coruña,Gustavo Loureiro,28,Defender,Retired,-,out,0,Primera Division,1992,1992/1993
Celta de Vigo,Ismael Urzaiz,20,Centre-Forward,Real Madrid,Loan,in,0,Primera Division,1992,1992/1993
Celta de Vigo,Santiago Cañizares,22,Goalkeeper,Real Madrid,Loan,in,0,Primera Division,1992,1992/1993
Celta de Vigo,Milorad Ratkovic,27,Left Midfield,Red Star,?,in,NA,Primera Division,1992,1992/1993
Celta de Vigo,Vicente Engonga,26,Central Midfield,Real Valladolid,?,in,NA,Primera Division,1992,1992/1993
Celta de Vigo,Alejo Indias,25,Centre-Back,FE Figueres,?,in,NA,Primera Division,1992,1992/1993
Celta de Vigo,Patxi Salinas,28,Centre-Back,Athletic,?,in,NA,Primera Division,1992,1992/1993
Celta de Vigo,Milos Bursac,27,Forward,Olympique Lyon,?,in,NA,Primera Division,1992,1992/1993
Celta de Vigo,Fabiano Soares,26,Midfielder,SD Compostela,?,out,NA,Primera Division,1992,1992/1993
Celta de Vigo,Nacho,25,Midfielder,SD Compostela,?,out,NA,Primera Division,1992,1992/1993
Celta de Vigo,Luis Miguel Damián,26,Midfielder,Real Valladolid,"End of loanJun 1, 1992",out,0,Primera Division,1992,1992/1993
Valencia CF,Ignacio Ibáñez,28,Midfielder,CA Osasuna,?,in,NA,Primera Division,1992,1992/1993
Valencia CF,Miodrag Belodedici,28,Sweeper,Red Star,?,in,NA,Primera Division,1992,1992/1993
Valencia CF,José González,27,Goalkeeper,Real Sociedad,?,in,NA,Primera Division,1992,1992/1993
Valencia CF,Gaizka Mendieta,18,Right Midfield,CD Castellón,?,in,NA,Primera Division,1992,1992/1993
Valencia CF,Álvaro Cervera,26,Forward,RCD Mallorca,?,in,NA,Primera Division,1992,1992/1993
Valencia CF,Juan Sánchez,20,Centre-Forward,Valencia B,-,in,0,Primera Division,1992,1992/1993
Valencia CF,Rommel Fernández,26,Forward,Albacete,Loan,out,0,Primera Division,1992,1992/1993
Valencia CF,Toni,26,Forward,Real Valladolid,?,out,NA,Primera Division,1992,1992/1993
Valencia CF,Emilio Fenoll,28,Forward,Burgos CF,?,out,NA,Primera Division,1992,1992/1993
Valencia CF,Nando,25,Defender,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
Valencia CF,Ricardo Arias,35,Centre-Back,CD Castellón,?,out,NA,Primera Division,1992,1992/1993
Valencia CF,José Manuel Ochotorena,31,Goalkeeper,CD Tenerife,?,out,NA,Primera Division,1992,1992/1993
Albacete Balompié,Antônio Carlos Zago,23,Centre-Back,São Paulo,Free Transfer,in,0,Primera Division,1992,1992/1993
Albacete Balompié,Antonio Pinilla,21,Left Winger,RCD Mallorca,Free Transfer,in,0,Primera Division,1992,1992/1993
Albacete Balompié,Raul Ricardo dos Santos,25,Forward,Defensor,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Rommel Fernández,26,Forward,Valencia,Loan,in,0,Primera Division,1992,1992/1993
Albacete Balompié,Armando Tejera,24,Centre-Back,UD Las Palmas,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Miguel Bossio,32,Midfielder,CE Sabadell,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Pedro Cordero,23,Midfielder,FC Cartagena,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Nenad Bjelica,21,Central Midfield,NK Osijek,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Jesús Unanua,23,Goalkeeper,CA Osasuna,?,in,NA,Primera Division,1992,1992/1993
Albacete Balompié,Gabelo Conejo,32,Goalkeeper,Unknown,?,out,NA,Primera Division,1992,1992/1993
Albacete Balompié,Juan José Juárez,30,Defender,Real Murcia,?,out,NA,Primera Division,1992,1992/1993
Albacete Balompié,Daniel Aquino,27,Forward,Mérida UD,?,out,NA,Primera Division,1992,1992/1993
Albacete Balompié,Marco Etcheverry,21,Attacking Midfield,Colo Colo,?,out,NA,Primera Division,1992,1992/1993
Albacete Balompié,Ismael Urzaiz,20,Centre-Forward,Real Madrid,"End of loanJun 30, 1992",out,0,Primera Division,1992,1992/1993
Burgos CF,Michel Boerebach,29,Midfielder,Roda JC,£327k,in,0.327,Primera Division,1992,1992/1993
Burgos CF,Emilio Fenoll,28,Forward,Valencia,?,in,NA,Primera Division,1992,1992/1993
Burgos CF,Miguel Tendillo,31,Centre-Back,Real Madrid,?,in,NA,Primera Division,1992,1992/1993
Burgos CF,Luis Fernández,27,Midfielder,Athletic,?,in,NA,Primera Division,1992,1992/1993
Burgos CF,Iñaki,22,Goalkeeper,Sestao Sport C.,?,in,NA,Primera Division,1992,1992/1993
Burgos CF,Sebastián Herrera,23,Centre-Back,FC Barcelona,Loan,in,0,Primera Division,1992,1992/1993
Burgos CF,Fernando Tocornal,31,Centre-Back,SD Compostela,?,out,NA,Primera Division,1992,1992/1993
Burgos CF,Gonzalo Arguiñano,30,Centre-Back,UE Lleida,?,out,NA,Primera Division,1992,1992/1993
Burgos CF,José Luis Sarabia,27,Forward,CD Badajoz,?,out,NA,Primera Division,1992,1992/1993
Burgos CF,Ivica Barbaric,30,Midfielder,Racing,?,out,NA,Primera Division,1992,1992/1993
Burgos CF,Gabi Balint,29,Centre-Forward,Retired,-,out,0,Primera Division,1992,1992/1993
Burgos CF,Manolo Jiménez,35,Centre-Back,Retired,-,out,0,Primera Division,1992,1992/1993
Sporting Gijón,Thomas Christiansen,19,Centre-Forward,FC Barcelona B,Loan,in,0,Primera Division,1992,1992/1993
Sporting Gijón,José Luis Ablanedo,30,Defender,Espanyol,?,in,NA,Primera Division,1992,1992/1993
Sporting Gijón,Jose Maria Cela,22,Forward,CD Numancia,?,in,NA,Primera Division,1992,1992/1993
Sporting Gijón,Milan Luhovy,30,Centre-Forward,Saint-Étienne,?,out,NA,Primera Division,1992,1992/1993
Sporting Gijón,Juan Manuel Suárez,26,Midfielder,CD Logroñés,?,out,NA,Primera Division,1992,1992/1993
Sporting Gijón,Joaquín,36,Attacking Midfield,Retired,-,out,0,Primera Division,1992,1992/1993
Real Oviedo,Cristóbal Parralo,24,Right-Back,FC Barcelona,?,in,NA,Primera Division,1992,1992/1993
Real Oviedo,Pirri Mori,21,Attacking Midfield,Oviedo B,-,in,0,Primera Division,1992,1992/1993
Real Oviedo,Armando,21,Right-Back,Oviedo B,-,in,0,Primera Division,1992,1992/1993
Real Oviedo,José Miguel Zúñiga Martiarena,30,Defender,CD Castellón,?,out,NA,Primera Division,1992,1992/1993
Real Oviedo,Tuto Sañudo,36,Centre-Back,Racing,?,out,NA,Primera Division,1992,1992/1993
Real Oviedo,Ricardo Bango,23,Midfielder,Sevilla FC,?,out,NA,Primera Division,1992,1992/1993
Real Oviedo,José Álvarez,25,Forward,CD Lugo,?,out,NA,Primera Division,1992,1992/1993
Cádiz CF,Quino,21,Forward,CD Málaga,?,in,NA,Primera Division,1992,1992/1993
Cádiz CF,Igor Stimac,24,Centre-Back,Hajduk Split,?,in,NA,Primera Division,1992,1992/1993
Cádiz CF,Kiko Narváez,20,Centre-Forward,Cádiz B,-,in,0,Primera Division,1992,1992/1993
Cádiz CF,Tilico,27,Forward,Marbella FC,?,out,NA,Primera Division,1992,1992/1993
Cádiz CF,José Ramón Bermell,30,Goalkeeper,Real Zaragoza,?,out,NA,Primera Division,1992,1992/1993
Cádiz CF,József Szendrei,38,Goalkeeper,Retired,-,out,0,Primera Division,1992,1992/1993
Cádiz CF,Indio Vázquez,27,Midfielder,Retired,-,out,0,Primera Division,1992,1992/1993
