club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Olympique Lyon,Fred,21,Centre-Forward,Cruzeiro,£14.04m,in,14.04,Ligue 1,2005,2005/2006
Olympique Lyon,Tiago,24,Central Midfield,Chelsea,£9.09m,in,9.09,Ligue 1,2005,2005/2006
Olympique Lyon,John Carew,25,Centre-Forward,Besiktas,£6.84m,in,6.84,Ligue 1,2005,2005/2006
Olympique Lyon,Benoît Pedretti,24,Defensive Midfield,Marseille,£6.75m,in,6.75,Ligue 1,2005,2005/2006
Olympique Lyon,Sylvain Monsoreau,24,Centre-Back,FC Sochaux,£4.50m,in,4.5,Ligue 1,2005,2005/2006
Olympique Lyon,Patrick Müller,29,Centre-Back,FC Basel,£3.42m,in,3.42,Ligue 1,2005,2005/2006
Olympique Lyon,Romain Beynié,18,Defensive Midfield,Olymp. Lyon B,-,in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Karim Benzema,17,Centre-Forward,Olymp. Lyon U19,-,in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Rémy Riou,17,Goalkeeper,Olymp. Lyon B,-,in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Rémy Vercoutre,25,Goalkeeper,R. Strasbourg,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Romain Sartre,22,Centre-Back,Stade Laval,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Julien Viale,23,Centre-Forward,Reims,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Alexandre Hauw,23,Left Midfield,Clermont Foot,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,François Clerc,22,Right-Back,Toulouse,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Demba Touré,20,Second Striker,Grasshoppers,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Lyon,Michael Essien,22,Defensive Midfield,Chelsea,£34.20m,out,34.2,Ligue 1,2005,2005/2006
Olympique Lyon,Bryan Bergougnoux,22,Attacking Midfield,Toulouse,£3.06m,out,3.06,Ligue 1,2005,2005/2006
Olympique Lyon,Nilmar,21,Centre-Forward,Corinthians,Loan fee:£1.80m,out,1.8,Ligue 1,2005,2005/2006
Olympique Lyon,Romain Sartre,22,Centre-Back,CS Sedan,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Kelly Youga,19,Left-Back,Charlton,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Yohann Gomez,23,Defensive Midfield,SC Bastia,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Julien Viale,23,Centre-Forward,FC Istres,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Nicolas Puydebois,24,Goalkeeper,R. Strasbourg,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Daniel Jaccard,20,Goalkeeper,Maconnais,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Pierre-Alain Frau,25,Centre-Forward,Lens,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Johann Truchet,22,Right-Back,Reims,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Yacine Hima,21,Central Midfield,LB Châteauroux,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Alexandre Hauw,23,Left Midfield,FC Gueugnon,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Lyon,Demba Touré,20,Second Striker,Grasshoppers,?,out,NA,Ligue 1,2005,2005/2006
Olympique Lyon,Sylvain Idangar,21,Left Winger,Valenciennes FC,Loan,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Abdul Kader Keita,23,Right Winger,Al Sadd,£2.70m,in,2.7,Ligue 1,2005,2005/2006
LOSC Lille,Daniel Gygax,23,Attacking Midfield,FC Zürich,£675k,in,0.675,Ligue 1,2005,2005/2006
LOSC Lille,Stephan Lichtsteiner,21,Right-Back,Grasshoppers,£585k,in,0.585,Ligue 1,2005,2005/2006
LOSC Lille,Flavien Le Postollec,21,Defensive Midfield,FC Martigues,Free Transfer,in,0,Ligue 1,2005,2005/2006
LOSC Lille,Hicham Aboucherouane,24,Left Winger,Raja Casablanca,Loan,in,0,Ligue 1,2005,2005/2006
LOSC Lille,Samuel Robail,20,Attacking Midfield,LOSC Lille B,-,in,0,Ligue 1,2005,2005/2006
LOSC Lille,Mathieu Robail,20,Left Midfield,LOSC Lille B,-,in,0,Ligue 1,2005,2005/2006
LOSC Lille,Larsen Touré,21,Right Winger,LOSC Lille B,-,in,0,Ligue 1,2005,2005/2006
LOSC Lille,Serge Djamba-Shango,23,Left Winger,KV Oostende,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
LOSC Lille,Dante,22,Centre-Back,RSC Charleroi,Loan,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Nicolas Raynier,21,Centre-Forward,FC Sète 34,Free Transfer,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Serge Djamba-Shango,23,Left Winger,VW Hamme,Free Transfer,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Philippe Brunel,32,Left Midfield,FC Sochaux,Free Transfer,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Christophe Landrin,28,Central Midfield,Paris SG,Free Transfer,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Johan Audel,21,Left Winger,FC Lorient,Loan,out,0,Ligue 1,2005,2005/2006
LOSC Lille,Claude N´Gantchéa,18,Goalkeeper,AC Cambrai,?,out,NA,Ligue 1,2005,2005/2006
LOSC Lille,Benoît Angbwa,23,Right-Back,Nacional,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
AS Monaco,Camel Meriem,25,Attacking Midfield,G. Bordeaux,£5.40m,in,5.4,Ligue 1,2005,2005/2006
AS Monaco,Marco Di Vaio,29,Centre-Forward,Valencia,Loan fee:£90k,in,0.09,Ligue 1,2005,2005/2006
AS Monaco,Manuel dos Santos,31,Left-Back,Benfica,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Olivier Sorlin,26,Defensive Midfield,Stade Rennais,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Olivier Kapo,24,Attacking Midfield,Juventus,Loan,in,0,Ligue 1,2005,2005/2006
AS Monaco,Christian Vieri,32,Centre-Forward,AC Milan,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Guillaume Warmuz,35,Goalkeeper,Bor. Dortmund,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Toifilou Maoulida,26,Centre-Forward,Stade Rennais,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Alexandre Licata,21,Centre-Forward,Louh.-Cuiseaux,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Gerard López,26,Central Midfield,FC Barcelona,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Monaco,Arnaud Lescure,19,Centre-Back,Monaco U19,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Serge Gakpé,18,Right Winger,Monaco B,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Jimmy Juan,21,Central Midfield,Ipswich,"End of loanMay 19, 2005",in,0,Ligue 1,2005,2005/2006
AS Monaco,Olivier Veigneau,19,Left-Back,Monaco B,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Stéphane Ruffier,18,Goalkeeper,Monaco B,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Nicolas Maurice-Belay,20,Left Winger,Monaco B,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Malaury Martin,16,Central Midfield,Monaco B,-,in,0,Ligue 1,2005,2005/2006
AS Monaco,Djibril Sidibé,23,Defensive Midfield,SC Bastia,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Monaco,Éric Cubilier,25,Right-Back,Lens,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Monaco,Marco Ramos,22,Left-Back,US Créteil,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Monaco,Nicolas Hislen,22,Defensive Midfield,FC Lorient,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Monaco,Emmanuel Adebayor,21,Centre-Forward,Arsenal,£9.00m,out,9,Ligue 1,2005,2005/2006
AS Monaco,Patrice Evra,24,Left-Back,Man Utd,£7.20m,out,7.2,Ligue 1,2005,2005/2006
AS Monaco,Julien Rodriguez,27,Centre-Back,Rangers,£1.35m,out,1.35,Ligue 1,2005,2005/2006
AS Monaco,Souleymane Camara,22,Right Winger,OGC Nice,£900k,out,0.9,Ligue 1,2005,2005/2006
AS Monaco,Olivier Sorlin,26,Defensive Midfield,Stade Rennais,£900k,out,0.9,Ligue 1,2005,2005/2006
AS Monaco,Hassan El Fakiri,28,Left-Back,Bor. M'gladbach,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Marko Muslin,20,Centre-Back,Willem II,Loan,out,0,Ligue 1,2005,2005/2006
AS Monaco,Marco Ramos,22,Left-Back,LB Châteauroux,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Pontus Farnerud,25,Central Midfield,R. Strasbourg,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Mohamed Kallon,25,Centre-Forward,Ittihad,Loan,out,0,Ligue 1,2005,2005/2006
AS Monaco,Antoine Grauss,20,Left Midfield,Clermont Foot,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Nicolas Hislen,22,Defensive Midfield,FC Martigues,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Shabani Nonda,28,Centre-Forward,AS Roma,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Grégory Lacombe,23,Right Winger,Vitória Setúbal,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Stéphane Ruffier,18,Goalkeeper,Bayonne,Loan,out,0,Ligue 1,2005,2005/2006
AS Monaco,Toifilou Maoulida,26,Centre-Forward,Marseille,Loan,out,0,Ligue 1,2005,2005/2006
AS Monaco,Djibril Sidibé,23,Defensive Midfield,LB Châteauroux,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Sébastien Carole,22,Right Winger,Brighton,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Monaco,Joseph Dayo Oshadogan,29,Centre-Back,Ternana,?,out,NA,Ligue 1,2005,2005/2006
AS Monaco,Javier Saviola,23,Second Striker,FC Barcelona,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
AS Monaco,Fabien Audard,27,Goalkeeper,FC Lorient,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,John Utaka,23,Left Winger,Lens,£5.40m,in,5.4,Ligue 1,2005,2005/2006
Stade Rennais FC,Erik Edman,26,Left-Back,Spurs,£2.70m,in,2.7,Ligue 1,2005,2005/2006
Stade Rennais FC,Youssouf Hadji,25,Centre-Forward,SC Bastia,£1.44m,in,1.44,Ligue 1,2005,2005/2006
Stade Rennais FC,John Mensah,23,Centre-Back,Chievo Verona,£1.08m,in,1.08,Ligue 1,2005,2005/2006
Stade Rennais FC,Olivier Sorlin,26,Defensive Midfield,Monaco,£900k,in,0.9,Ligue 1,2005,2005/2006
Stade Rennais FC,Cheick N'Diaye,20,Goalkeeper,Olympique Noisy-le-Sec,Free Transfer,in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Alain Rochat,22,Centre-Back,BSC Young Boys,Free Transfer,in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Florent Chaigneau,22,Goalkeeper,Brighton,"End of loanMay 31, 2006",in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Arthur Sorin,19,Centre-Back,Rennes B,-,in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Stéphane Mbia,19,Defensive Midfield,Rennes B,-,in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Amadou Coulibaly,20,Centre-Back,Rennes B,-,in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Sébastien Puygrenier,23,Centre-Back,AS Nancy,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Frédéric Piquionne,26,Centre-Forward,Saint-Étienne,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Frédéric Piquionne,26,Centre-Forward,Saint-Étienne,£2.70m,out,2.7,Ligue 1,2005,2005/2006
Stade Rennais FC,Arnaud Le Lan,27,Left-Back,Guingamp,£450k,out,0.45,Ligue 1,2005,2005/2006
Stade Rennais FC,Sébastien Puygrenier,23,Centre-Back,AS Nancy,£180k,out,0.18,Ligue 1,2005,2005/2006
Stade Rennais FC,Grégory Tanagro,21,Centre-Back,FC Sète 34,Loan,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Olivier Sorlin,26,Defensive Midfield,Monaco,Free Transfer,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Florent Chaigneau,21,Goalkeeper,Brighton,Loan,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Toifilou Maoulida,26,Centre-Forward,Monaco,Free Transfer,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Amadou Makhtar N'Diaye,23,Defensive Midfield,Yverdon-Sport,Free Transfer,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Stéphane N'Guéma,21,Right Winger,FC Lorient,Loan,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Arthur Sorin,19,Centre-Back,OC Vannes,Loan,out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Ivica Mornar,31,Centre-Forward,Portsmouth,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
Stade Rennais FC,Alex Silva,20,Centre-Back,EC Vitória,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Mamadou Niang,25,Centre-Forward,R. Strasbourg,£6.30m,in,6.3,Ligue 1,2005,2005/2006
Olympique Marseille,Lorik Cana,22,Centre-Back,Paris SG,£3.60m,in,3.6,Ligue 1,2005,2005/2006
Olympique Marseille,Bostjan Cesar,22,Centre-Back,Dinamo Zagreb,£2.25m,in,2.25,Ligue 1,2005,2005/2006
Olympique Marseille,Mickaël Pagis,32,Second Striker,R. Strasbourg,£900k,in,0.9,Ligue 1,2005,2005/2006
Olympique Marseille,Christian Giménez,30,Centre-Forward,FC Basel,£630k,in,0.63,Ligue 1,2005,2005/2006
Olympique Marseille,Renato Civelli,22,Centre-Back,CA Banfield,Loan fee:£117k,in,0.117,Ligue 1,2005,2005/2006
Olympique Marseille,Franck Ribéry,22,Left Winger,Galatasaray,Free Transfer,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Sabri Lamouchi,33,Central Midfield,Inter,Free Transfer,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Wilson Oruma,28,Attacking Midfield,FC Sochaux,Free Transfer,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Toifilou Maoulida,26,Centre-Forward,Monaco,Loan,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Yannick Quesnel,31,Goalkeeper,Benfica,Loan,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Andrés Mendoza,27,Centre-Forward,Metalurh D.,Loan,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,André Luis,25,Centre-Back,Benfica,Loan,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Jérôme Bonnissel,31,Left-Back,Without Club,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Fabrice Begeorgi,18,Left-Back,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Medhi Benatia,18,Centre-Back,Marseille U19,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Salomon Olembé,25,Left Midfield,Al Rayyan,"End of loanMay 1, 2006",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Mohamed Dennoun,19,Attacking Midfield,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Anthony Flachi,19,Central Midfield,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Fabien Barthez,34,Goalkeeper,Ban,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Khalifa Ba,19,Centre-Back,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Thomas Deruda,18,Central Midfield,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Alexis Pradie,18,Centre-Back,Marseille B,-,in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Rudi Skacel,26,Left-Back,Heart of Midl.,"End of loanMay 1, 2006",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Laurent Merlin,20,Attacking Midfield,AC Ajaccio,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Fabio Celestini,29,Defensive Midfield,Levante,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Cédric Carrasso,23,Goalkeeper,Guingamp,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Stepan Vachousek,25,Left Midfield,Austria Vienna,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Pascal Johansen,26,Central Midfield,R. Strasbourg,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Delfim,28,Central Midfield,Moreirense,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Alain Cantareil,21,Left-Back,Nîmes Olympique,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Thierry Racon,21,Defensive Midfield,FC Lorient,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Cyril Chapuis,26,Centre-Forward,AC Ajaccio,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
Olympique Marseille,Benoît Pedretti,24,Defensive Midfield,Olympique Lyon,£6.75m,out,6.75,Ligue 1,2005,2005/2006
Olympique Marseille,Eduardo Costa,22,Defensive Midfield,Espanyol,£3.60m,out,3.6,Ligue 1,2005,2005/2006
Olympique Marseille,Stepan Vachousek,25,Left Midfield,Austria Vienna,£1.35m,out,1.35,Ligue 1,2005,2005/2006
Olympique Marseille,Koji Nakata,26,Defensive Midfield,FC Basel,£630k,out,0.63,Ligue 1,2005,2005/2006
Olympique Marseille,Pascal Johansen,26,Central Midfield,R. Strasbourg,£135k,out,0.135,Ligue 1,2005,2005/2006
Olympique Marseille,Fabrice Fiorèse,30,Right Winger,Al Rayyan,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Cyril Chapuis,26,Centre-Forward,FC Brüssel,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Brahim Hemdani,27,Defensive Midfield,Rangers,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Péguy Luyindula,26,Centre-Forward,AJ Auxerre,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Salomon Olembé,24,Left Midfield,Al Rayyan,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Thierry Racon,21,Defensive Midfield,Guingamp,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Leyti N'Diaye,20,Centre-Back,US Créteil,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Johnny Ecker,32,Centre-Back,Guingamp,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Rahmane Barry,19,Second Striker,FC Lorient,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Jérémy Gavanon,21,Goalkeeper,Clermont Foot,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Laurent Merlin,20,Attacking Midfield,AC Ajaccio,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Fabio Celestini,29,Defensive Midfield,Getafe,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Sylvain N'Diaye,29,Defensive Midfield,Levante,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Ahmed Yahiaoui,18,Central Midfield,FC Istres,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Philippe Christanval,26,Centre-Back,Fulham,Free Transfer,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Koke,22,Centre-Forward,Sporting CP,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Habib Bamogo,23,Second Striker,FC Nantes,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Rudi Skacel,26,Left-Back,Heart of Midl.,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Laurent Batlles,29,Attacking Midfield,Toulouse,Loan,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Pegguy Arphexad,32,Goalkeeper,Retired,-,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Andrés Mendoza,27,Centre-Forward,Metalurh D.,"End of loanDec 1, 2005",out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Yang Gai,18,Central Midfield,Without Club,-,out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Steve Marlet,31,Centre-Forward,Fulham,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
Olympique Marseille,Bruno Cheyrou,27,Central Midfield,Liverpool,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Frédéric Piquionne,26,Centre-Forward,Stade Rennais,£2.70m,in,2.7,Ligue 1,2005,2005/2006
AS Saint-Étienne,Pascal Feindouno,24,Right Winger,G. Bordeaux,£2.70m,in,2.7,Ligue 1,2005,2005/2006
AS Saint-Étienne,Sébastien Mazure,26,Centre-Forward,SM Caen,£1.80m,in,1.8,Ligue 1,2005,2005/2006
AS Saint-Étienne,Hélder Postiga,23,Centre-Forward,FC Porto,Loan fee:£720k,in,0.72,Ligue 1,2005,2005/2006
AS Saint-Étienne,Damien Perquis,21,Centre-Back,Troyes,£540k,in,0.54,Ligue 1,2005,2005/2006
AS Saint-Étienne,Jody Viviani,23,Goalkeeper,Montpellier,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Alaeddine Yahia,23,Centre-Back,Southampton,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Siaka Tiéné,23,Left-Back,Sundowns,Free Transfer,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Bruno Basto,27,Left-Back,Without Club,-,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Alan Mermillod,20,Goalkeeper,Saint-Étienne B,-,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Samy Houri,19,Attacking Midfield,Saint-Étienne B,-,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Idriss Ech-Chergui,20,Attacking Midfield,Saint-Étienne B,-,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Jessy Moulin,19,Goalkeeper,Saint-Étienne B,-,in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Pathé Bangoura,21,Centre-Forward,ASOA Valence,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Mickael Pontal,25,Centre-Back,ASOA Valence,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Sylvain Meslien,24,Centre-Back,Troyes,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Bafétimbi Gomis,19,Centre-Forward,Troyes,"End of loanJun 30, 2005",in,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Patrice Carteron,34,Centre-Back,Cannes,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Mickael Pontal,25,Centre-Back,US Boulogne,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Idriss Ech-Chergui,20,Attacking Midfield,Bayonne,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Lilian Compan,28,Centre-Forward,SM Caen,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Sylvain Meslien,24,Centre-Back,Troyes,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Nicolas Marin,24,Right Winger,CS Sedan,Loan,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Stéphane Hernandez,25,Centre-Back,SC Amiens,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Pathé Bangoura,21,Centre-Forward,Genclerbirliyi,Free Transfer,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Florent Guillaud,21,Goalkeeper,Retired,-,out,0,Ligue 1,2005,2005/2006
AS Saint-Étienne,Pascal Feindouno,24,Right Winger,G. Bordeaux,"End of loanJun 30, 2005",out,0,Ligue 1,2005,2005/2006
